goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
6493135,87107871,style,2weeks6,핏도 예쁘고 크롭해서 좋아요 다만 원단이 아쉽고 처음 받아봤을때 석유냄새가 좀 났어요,2.0,False,BLACK · L,177.0,78.0,남성,2026-08-24 12:12:32,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,L,BLACK,2026,8,24,월,2,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,핏도 예쁘고 크롭해서 좋아요 다만 원단이 아쉽고 처음 받아봤을때 석유냄새가 좀 났어요,핏도예쁘고크롭해서좋아요다만원단이아쉽고처음받아봤을때석유냄새가좀났어요,0,0,0,0,0,False,47,36,47,True,2weeks6,"('L', 'BLACK')",0,False,1,keep,unique,True,87107871
5334006,87108244,general,S___i,사이즈 큽니다 배송 빠르게 잘 받았어요 소재도 좋고 맘에 듭니다,5.0,False,S,150.0,51.0,여성,2026-08-24 12:39:23,사이즈: 많이 큼 / 화면 대비 색감: 어두움 / 퀄리티: 좋음 / 신축성: 강함,False,0,filluminate,하의,S,,2026,8,24,월,5,응답,많이 큼,어두움,좋음,,,강함,,4.0,,4.0,,,2.0,2.0,-1.0,1.0,사이즈 큽니다 배송 빠르게 잘 받았어요 소재도 좋고 맘에 듭니다,사이즈큽니다배송빠르게잘받았어요소재도좋고맘에듭니다,0,0,0,0,0,False,35,26,35,True,S___i,"('S', None)",0,False,1,keep,unique,True,87108244
﻿4300929,87108365,general,간지폭발냥,셔츠가 필요해서 구매했는데 아주 만족스럽습니다. 귀여운 느낌도 있고 휘뚜루마뚜루 편하게 자주 입을 것 같아요.,5.0,False,SMALL,160.0,52.0,여성,2026-08-24 12:47:29,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,travel,상의,SMALL,,2026,8,24,월,5,응답,조금 큼,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,1.0,1.0,0.0,0.0,셔츠가 필요해서 구매했는데 아주 만족스럽습니다. 귀여운 느낌도 있고 휘뚜루마뚜루 편하게 자주 입을 것 같아요.,셔츠가필요해서구매했는데아주만족스럽습니다귀여운느낌도있고휘뚜루마뚜루편하게자주입을것같아요,0,0,0,0,0,False,61,46,61,True,간지폭발냥,"('SMALL', None)",0,False,1,keep,unique,True,87108365
4969807,87109210,general,suelub,기장 딱 좋고 재질도 생각했던데로라 맘에 들어요,5.0,False,BEIGE · XL,188.0,88.0,남성,2026-08-24 13:38:33,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,XL,BEIGE,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,기장 딱 좋고 재질도 생각했던데로라 맘에 들어요,기장딱좋고재질도생각했던데로라맘에들어요,0,0,0,0,0,False,26,20,26,True,suelub,"('XL', 'BEIGE')",0,False,1,keep,unique,True,87109210
4969807,87110309,general,Level4,깔끔하니 괜찮아오 딱 원하던 색상과 재질이에요!,5.0,False,BROWN · M,172.0,74.0,남성,2026-08-24 14:47:34,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,M,BROWN,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,깔끔하니 괜찮아오 딱 원하던 색상과 재질이에요!,깔끔하니괜찮아오딱원하던색상과재질이에요,0,0,1,0,0,False,26,20,26,True,Level4,"('M', 'BROWN')",0,False,2,keep,multi_type_unique,True,87110309
4969807,87110319,style,Level4,딱 원하던 색상과 재질로 가격대비 품질이 매우 우수해요,5.0,False,BROWN · M,172.0,74.0,남성,2026-08-24 14:48:14,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,M,BROWN,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,딱 원하던 색상과 재질로 가격대비 품질이 매우 우수해요,딱원하던색상과재질로가격대비품질이매우우수해요,0,0,0,0,0,False,30,23,30,True,Level4,"('M', 'BROWN')",0,False,2,keep,multi_type_unique,True,87110319
3791990,87110524,general,명료한리스본라펠,핏도 적당하고 재질도 여름에 입기 괜찮은 것 같아요,4.0,False,XL,180.0,90.0,남성,2026-08-24 14:59:54,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 신축성: 강함,True,0,filluminate,하의,XL,,2026,8,24,월,4,응답,조금 큼,화면과 비슷,좋음,,,강함,,4.0,,4.0,,,1.0,1.0,0.0,0.0,핏도 적당하고 재질도 여름에 입기 괜찮은 것 같아요,핏도적당하고재질도여름에입기괜찮은것같아요,0,0,0,0,0,False,28,21,28,True,명료한리스본라펠,"('XL', None)",0,False,1,keep,unique,True,87110524
5911822,87110745,general,줘니리,색깔 이쁘고 끈조임 가능해서 다양한 스타일 연출 가능합니다,5.0,False,XS,165.0,65.0,남성,2026-08-24 15:15:09,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,XS,,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,색깔 이쁘고 끈조임 가능해서 다양한 스타일 연출 가능합니다,색깔이쁘고끈조임가능해서다양한스타일연출가능합니다,0,0,0,0,0,False,32,25,32,True,줘니리,"('XS', None)",0,False,1,keep,unique,True,87110745
﻿3792424,87111068,general,최신노랑와이드진,무난무난 기본기본 오버핏이라 편하게 괜찮음요,5.0,False,L,170.0,57.0,여성,2026-08-24 15:36:49,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,L,,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,무난무난 기본기본 오버핏이라 편하게 괜찮음요,무난무난기본기본오버핏이라편하게괜찮음요,0,0,0,0,0,False,24,20,24,True,최신노랑와이드진,"('L', None)",0,False,1,keep,unique,True,87111068
﻿2712419,87111132,general,쟝쟝0101,사이즈가 엄청 커서 오버핏으로 입어야 할 거 같아여! 디자인은 무난하고 재질도 괜찮아요.,3.0,False,S,155.0,48.0,여성,2026-08-24 15:40:18,사이즈: 많이 큼 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 퀄리티: 보통,True,0,filluminate,아우터,S,,2026,8,24,월,3,응답,많이 큼,화면과 비슷,보통,,적당함,,,3.0,,,3.0,,2.0,2.0,0.0,0.0,사이즈가 엄청 커서 오버핏으로 입어야 할 거 같아여! 디자인은 무난하고 재질도 괜찮아요.,사이즈가엄청커서오버핏으로입어야할거같아여디자인은무난하고재질도괜찮아요,0,0,1,0,0,False,49,36,49,True,쟝쟝0101,"('S', None)",0,False,1,keep,unique,True,87111132
